grupo estudio,year,universidad,titulo
Sociología,2012,PONT. UNIV. CATOLICA DE CHILE,Eventos estresantes que ocurren al envejecer: como las relaciones familiares y los recursos sociales moderan el impacto en el bienestar de los mayores
Sociología,2012,UNIV.ALBERTO HURTADO,"Judaísmo, islam e hinduismo: conflicto y diálogo en argentina y Chile 2001-2011"
Sociología,2012,CENTRO DE ESTUD.PARA EL DESARR.DE LA MUJ,Cambios en las identidades y relaciones de género en el ámbito rural de Chile central 1940-2010
Sociología,2012,UNIV.DIEGO PORTALES,Parar la indiferencia: observación del valor compartido en las relaciones de colaboración que establecen empresas con y sin fines de lucro en Chile
Sociología,2012,UNIV.DE LA FRONTERA,Las dimensiones sociales (confianza y comunicación) de los riesgos ecológicos en conflictos socioambientales por energía en Chile: los casos de Castilla e HidroAysén
Sociología,2012,INST.FILOSOFIA Y CS. DE LA COMPLEJIDAD,Estudio de los efectos de la estructuración geográfica sobre la competencia en educación escolar mediante el uso de sistemas de información geográfica y modelamiento basado en agentes
Sociología,2012,PONT. UNIV. CATOLICA DE CHILE,Socialización política y experiencia escolar: Chile en contexto internacional
Sociología,2012,UNIV.DE SANTIAGO DE CHILE,Patrones sociales de consumo de energía: la relevancia de los actores estratégicos en el desafío del desarrollo sustentable en Chile
Sociología,2012,UNIV.DE LOS LAGOS,"Percepciones, prácticas y representaciones ciudadanas como condiciones de la gobernanza territorial en Chile"
Sociología,2012,UNIV.DE LA FRONTERA,"Modernización, globalización y riesgo ambiental: identificación de los procesos de adquisición y perdida de la agrobiodiversidad y su relación con el origen étnico de los agricultores. El caso de la Araucanía"
Sociología,2012,UNIV.DE SANTIAGO DE CHILE,Incidencia de las redes políticas en los procesos de toma de decisión para la asignación de recursos de desarrollo regional. Los consejos regionales en Chile 2010-2014
Sociología,2012,UNIV.DE LOS LAGOS,El impacto de internet en el capital social de comunas aisladas
Sociología,2012,UNIV.DE LA FRONTERA,Medios de comunicación y poder: discursos de la prensa y de sujetos adultos de la región de la Araucanía sobre justicia/injusticia en torno al conflicto estado-nación y pueblo mapuche
Sociología,2012,CORP. EDUCACION Y DES. SOCIAL,Transiciones a la vida adulta: generaciones y cambio social en Chile
Sociología,2012,UNIV.DIEGO PORTALES,Liderazgo para el mejoramiento educativo: gestión del cambio para el logro de las metas de aprendizaje de los PME-SEP
Sociología,2012,UNIV.DE LA SERENA,"Innovación, fe y proyectos de sociedad: intelectuales evangélicos chilenos como meta minoría activa"
Sociología,2012,PONT. UNIV. CATOLICA DE CHILE,Trayectorias delictuales y uso de drogas en infractores adolescentes
Sociología,2012,PONT. UNIV. CATOLICA DE VALPARAISO,"La ética de lo público como referencial identitario. Managerialismo e identidad laboral en profesionales del ámbito de la implementación de políticas sociales, salud primaria y educación municipalizada en Chile"
Sociología,2012,UNIV.ALBERTO HURTADO,Datos y relatos científico-sociales que dan forma a la realidad social de Chile: estudio de los entrelazamientos constructivos y performativos de la ciencia social
Sociología,2013,UNIV.DIEGO PORTALES,Capital cultural y territorio en Chile. La estructuración territorial del espacio social más allá de los capitales
Sociología,2013,UNIV.ALBERTO HURTADO,El desecho de Chile: un análisis sociotécnico de prácticas y políticas respecto del manejo de relaves mineros en las últimas dos décadas
Sociología,2013,UNIV.DE CHILE,"Inmigrantes ""negros"" en Chile: practicas cotidianas de racializacion/sexualización"
Sociología,2013,UNIV.DE CHILE,Justicia social y tolerancia a la desigualdad: análisis subjetivo de la diferenciación social en un régimen neoliberal maduro
Sociología,2013,UNIV.METROPOLITANA DE CS.DE LA EDUCACION,"Uso de la web, competencias, motivación y actitud de los estudiantes de pedagogía del área de humanidades respecto de las tic y la cultura digital"
Sociología,2013,UNIV.DE CHILE,¿cuánto conocimiento transfiere el sector offshore y cadenas anexas al desarrollo de la región metropolitana?
Sociología,2013,UNIV.DE LA FRONTERA,Violencia de género y sus representaciones sociales en el territorio wenteche de la región de la Araucanía
Sociología,2013,UNIV.DE VALPARAISO,Estudio socio-económico de grupos de investigación avanzada y sus redes de colaboración con la industria en las áreas de ingeniería de software y biotecnología
Sociología,2013,UNIV.ALBERTO HURTADO,"Migrantes latinoamericanos en Chile: precariedad laboral e informalidad en enclaves étnicos, agricultura y construcción"
Sociología,2013,UNIV.DE CONCEPCION,Construcción imaginario social de la desconfianza y su relación con el descontento en el Chile actual
Sociología,2013,UNIV.ANDRES BELLO,Nuevas formas de pensar en la estratificación social: la intersección clase/género en el mercado laboral chileno
Sociología,2013,UNIV.DE LOS LAGOS,Juicios sobre las desigualdades en las clases medias: para una sociología de la crítica en Chile
Sociología,2013,PONT. UNIV. CATOLICA DE CHILE,"Los vínculos de pareja en el Chile de hoy: amor, sexualidad e intimidad"
Sociología,2013,UNIV.ANDRES BELLO,Towards a comprehensive appraisal of risks from natural hazards in Chile
Sociología,2013,CENTRO DE ESTUDIOS DE LA MUJER SOC.LTDA,"Interrelaciones entre discursos, normas y practicas sociales en la reproducción y cambio de las desigualdades de género"
Sociología,2013,UNIV.DE SANTIAGO DE CHILE,La globalización y su acción formativa sobre el ethos de la modernidad. Explicación e interpretación a través de los tonos emocionales y transiciones ontológicas emergentes
Sociología,2013,UNIV.ANDRES BELLO,Identificación de elementos críticos que influyen en el factor impacto de las revistas chilenas de corriente principal
Sociología,2013,UNIV.AUSTRAL DE CHILE,"Análisis crítico y complejo del discurso periodístico verbo visual de la representación intercultural limítrofe/liminal en la prensa boliviana, chilena y peruana sobre el diferendo marítimo internacional de la haya"
Sociología,2013,UNIV.DE CHILE,Los repertorios de acción sindical frente a las transformaciones del mundo del trabajo en Chile (1990-2014). Estudio en las 15 regiones del país
Sociología,2013,UNIV.AUSTRAL DE CHILE,Comunicación publica de la ciencia y modernización reflexiva: estudio de los fenómenos de reflexividad y ambivalencia en las actitudes publicas hacia la ciencia en Chile en el marco de conflictos y problemas ambientales
Sociología,2013,PONT. UNIV. CATOLICA DE CHILE,"El desafío de la televisión y el cambio de las audiencias para el teatro y el cine. Un caso de estudio: la escuela de las artes de la comunicación UC, 1968-1978. La interdisciplina como antecedente de la intermedialidad"
Sociología,2013,PONT. UNIV. CATOLICA DE CHILE,Juicio profesional y toma de decisiones sobre familias con necesidades complejas
Sociología,2013,UNIV.DE CONCEPCION,Acción colectiva y políticas públicas en perspectiva: lecciones a partir del movimiento educacional chileno
Sociología,2013,UNIV.DE LOS LAGOS,Sistemas de gobierno de las universidades iberoamericanas: un análisis desde la teoría de agencia
Sociología,2013,UNIV.ALBERTO HURTADO,"Imaginarios del género, representaciones del cuerpo y mercados del sexo en Chile (siglo XX)"
Sociología,2014,UNIV.DE TARAPACA,Comunidades epistémicas internacionales: formación de redes científicas chileno-alemanas 1950-2010
Sociología,2014,UNIV.DE SANTIAGO DE CHILE,"El trabajo de los individuos y la constitución de sujetos en la sociedad chilena: ideales normativos, experiencias sociales y anclajes existenciales"
Sociología,2014,UNIV.DIEGO PORTALES,Inclusión digital en Chile: determinantes de adopción y uso de tics en localidades aisladas
Sociología,2014,UNIV.DIEGO PORTALES,Culturas de evaluación y cualificación en el mundo económico. Un análisis exploratorio de las prácticas y dispositivos de producción de conocimiento sobre el consumidor
Sociología,2014,UNIV.DIEGO PORTALES,Demandas por cambios constitucionales y sociedad mundial
Sociología,2014,UNIV.DIEGO PORTALES,When does retirement maximize health outcomes and behaviors?
Sociología,2014,UNIV.DIEGO PORTALES,"Clase media alta en Chile hoy: sobre las viejas y nuevas barreras, prácticas y costos de la reproducción de la posición de clase"
Sociología,2014,UNIV.ANDRES BELLO,Las formas y las disputas de la memoria. Un análisis sociológico sobre la controversia en torno al museo de la memoria y los derechos humanos
Sociología,2014,UNIV.DEL BIO-BIO,"Reconfiguraciones socioespaciales, estructurales y simbólicas de la población, los modos de vida, el trabajo y la familia en el marco de las nuevas relaciones rural/urbanas. Perspectivas y aportes desde la región del Bio-bio"
Sociología,2014,UNIV.ALBERTO HURTADO,Modelos de trayectorias y desenlace educativo-laboral de jóvenes; un estudio longitudinal en la región metropolitana
Sociología,2014,UNIV.ALBERTO HURTADO,La construcción de identidades laborales en escenarios de trabajo heterogéneos: estudio en el sector publico
Sociología,2014,UNIV.CENTRAL DE CHILE,"Estado chileno e inmigrantes latinoamericanos frente a frente, reconocimiento, respeto y expectativas de incorporación"
Sociología,2014,UNIV.DE CHILE,"El mundo de las músicas inmigrantes latinoamericanas en Chile: identidades, sociabilidades y mestizajes culturales"
Sociología,2014,UNIV.DE CHILE,Experiencias posicionales: subjetividades en la transformación social de Chile
Sociología,2014,UNIV.DE CHILE,Convergencia mediático tecnológica y vida cotidiana: transformaciones socioculturales del Chile contemporáneo
Sociología,2014,PONT. UNIV. CATOLICA DE CHILE,"Marcos de sentido y representaciones de la publicidad del retail chileno: 1980-2013, continuidades y cambios"
Sociología,2014,UNIV.ALBERTO HURTADO,"La transformación de las elites en una sociedad emergente. Distinción, tolerancia y transnacionalización de las elites empresariales chilenas"
Sociología,2014,UNIV.DE LA FRONTERA,Nuevas prácticas sociales de relación con los humedales de valdivia: un enfoque posthumanista para trazar los efectos locales del desastre ecológico del rio cruces
Sociología,2014,UNIV.TECNOLOGICA DE CHILE INACAP,"Cumplir la promesa de la solidaridad: un análisis de la producción y uso de la evidencia en los procesos de diseño, ejecución y evaluación de las prácticas de intervención social con población en situación de vulnerabilidad en Chile"
Sociología,2014,PONT. UNIV. CATOLICA DE CHILE,Nueva geografía de la urbanización y vulnerabilidad socio-territorial. ¿hacia la configuración de una región urbana en Santiago de Chile?
Sociología,2014,UNIV.DE LA FRONTERA,"Resiliencia socio ecológica de sistemas agrícolas tradicionales y modernos: identificación de modos de organización, técnicas y prácticas culturales para enfrentar el cambio climático y la escasez hídrica en la Araucanía"
Sociología,2014,UNIV.DE LA FRONTERA,"El imaginario social estado-nación y la iglesia católica en la crítica literaria periodística publicada en el diario El Mercurio por Omer Emeth, Alone e Ignacio Valente, durante el siglo XX"
Sociología,2014,UNIV.ARTURO PRAT,"Dinámicas identitarias en el norte grande de Chile: nación, región y religiosidad popular"
Sociología,2015,UNIV.CATOLICA DEL NORTE,"Género, trabajo y minería: proyección laboral de las mujeres en la minería chilena y su relación con los centros de educación superior y sindicatos mineros"
Sociología,2015,UNIV.ALBERTO HURTADO,Antisemitismo e islamofobia como formas de intolerancia religiosa y cultural en las primeras décadas del siglo XXI. Los casos de Argentina y Chile
Sociología,2015,PONT. UNIV. CATOLICA DE VALPARAISO,"Roles profesionales y su materialización en el contenido noticioso del periodismo chileno: un estudio comparado de la televisión, prensa online, prensa escrita, radio y redes sociales"
Sociología,2015,PONT. UNIV. CATOLICA DE CHILE,Tendencias en la cobertura periodística de política y gobierno: análisis de la homogeneidad/diversidad en los encuadres de la información aportada por las fuentes de noticias en la prensa chilena
Sociología,2015,UNIV.AUTONOMA DE CHILE,Trabajo y familia: hacia un modelo para el establecimiento de una agenda nacional de equilibrio y co-responsabilidad en materia laboral y familiar en Chile
Sociología,2015,PONT. UNIV. CATOLICA DE CHILE,"Puntos ciegos y tensiones sobre la función periodística en noticias de emergencia: análisis comparado de percepciones y expectativas de expertos/responsables en gestión de emergencias, periodistas y audiencia sobre el trabajo periodístico en desastre"
Sociología,2015,PONT. UNIV. CATOLICA DE CHILE,Vidas tóxicas: contaminación atmosférica y regímenes de existencia en Puchuncaví
Sociología,2015,PONT. UNIV. CATOLICA DE CHILE,"El todo, la parte y la contraparte: incidencia de la ejemplificación como estrategia argumental de lo particular en la cobertura periodística chilena"
Sociología,2015,UNIV.DIEGO PORTALES,Confianza relacional en escuelas públicas y privadas subvencionadas. Un estudio en escuelas básicas de la región de Valparaíso
Sociología,2015,UNIV.AUSTRAL DE CHILE,Redes sociales y medios de comunicación: modelo de análisis de basado en minería de datos para la comprensión del ecosistema informativo chileno en internet y la educomunicación ciudadana en la red
Sociología,2015,UNIV.DIEGO PORTALES,Convertirse en padre hoy: experiencias masculinas de transición a la paternidad en Chile
Sociología,2015,UNIV.DE CHILE,La representación de la historia reciente de Chile en las series de ficción nacionales de máxima audiencia y su recepción en el público juvenil
Sociología,2015,UNIV.DE LA FRONTERA,La construcción social del riesgo: hacia una configuración diferenciada de los riesgos y peligros en el Chile del siglo XXI
Sociología,2015,UNIV.DE SANTIAGO DE CHILE,"Multiplicidad de actores, conocimiento y gobernanza en la transición energética: casos comparados en Chile y Argentina"
Sociología,2015,CENTRO DE ESTUD.PARA EL DESARR.DE LA MUJ,Trayectoria e incidencia de la organización social y acción colectiva de las mujeres rurales en Chile
Sociología,2015,UNIV.DE LA FRONTERA,"La construcción del imaginario social de la justicia en los relatos periodísticos publicados por el diario el mercurio de Chile, entre 1850 y 2014, en el contexto del conflicto estado-nación y pueblo mapuche: continuidades y cambios"
Sociología,2015,UNIV.ALBERTO HURTADO,Movimientos regionalistas y transformaciones políticas en Chile 2011-2016: entre la cooptación y el poder autónomo
Sociología,2015,UNIV.DIEGO PORTALES,Los dos carismas. La construcción social retrospectiva del carisma individual y la desacralización del carisma institucional en Chile (1970-2014)
Sociología,2015,UNIV.DE LOS LAGOS,Desigualdades sociales en Chile: ¿qué influye en lo considerado justo o injusto?
Sociología,2015,UNIV.ARTURO PRAT,La regionalización transfronteriza en el norte de Chile: una gestión para el desarrollo
Sociología,2015,UNIV.DE CHILE,El conflicto sindical chileno: las modalidades que asume y el sentido que le imputan los actores
Sociología,2015,UNIV.DE CHILE,Exploring human-wildlife relationships in Chile: a multi-stakeholder perspective to wildlife conservation management
Sociología,2015,UNIV.DE VALPARAISO,"Consagración cultural, espectáculo y mujer en América Latina: Carmen Miranda, Yma Súmac y Eva Perón"
Sociología,2015,PONT. UNIV. CATOLICA DE VALPARAISO,"Vidas académicas, instituciones en disputa: la organización del trabajo y la subjetividad académica en un contexto de transformación"
Sociología,2015,UNIV.DE LOS LAGOS,Lo que los conflictos producen: configuraciones y dinámicas de la conflictividad socio territorial en Chile y sus consecuencias sobre las políticas públicas y los territorios
Sociología,2015,UNIV.ANDRES BELLO,Explicando el cambio partidario desde una sociología institucional y del entorno: el caso de estudio de las derechas chilenas
Sociología,2016,UNIV.DE CHILE,Imágenes de la memoria: lecturas generacionales de series de ficción televisiva sobre el pasado reciente de Chile
Sociología,2016,UNIV.DE CONCEPCION,Cartografías de economías heterogéneas: estudio de casos en las regiones del Biobío y Valparaíso
Sociología,2016,UNIV.DE CHILE,Persuasión no argumentativa aplicada a promoción de salud: análisis de la dimensión ética y evaluación de su eficacia
Sociología,2016,PONT. UNIV. CATOLICA DE CHILE,Dinámicas de la participación en la protesta: un estudio comparado de Chile y Argentina
Sociología,2016,UNIV.DE CHILE,"Representaciones discursivas sobre derechos y deberes profesionales, institucionales y rol del estado, relacionadas con la objeción de conciencia sanitaria y despenalización de la interrupción voluntaria del embarazo, por tres causales en Chile"
Sociología,2016,UNIV.CENTRAL DE CHILE,"La formación del guionista en Chile: análisis de los enfoques curriculares y modelos de evaluación de la escritura para cine, televisión y transmedia"
Sociología,2016,UNIV.DIEGO PORTALES,"La relación entre padres e hijos(as) en la perspectiva de niños(as) y adultos. Un estudio discursivo en Santiago, Chile"
Sociología,2016,UNIV.DE CHILE,"Planes sociales de empleo y protección social para la (des)igualdad: los casos de Brasil, Chile y Venezuela"
Sociología,2016,UNIV.AUSTRAL DE CHILE,La vida social de la energía: trayectorias territoriales de la energía en tres regiones del sur-austral de Chile
Sociología,2016,UNIV.DE TARAPACA,Social relations and interactions among the children of immigrants and the children of chileans in schools in Arica: construction of a habitus in everyday school life
Sociología,2016,UNIV.DE CHILE,Economía moral de la meritocracia y preferencias redistributivas
Sociología,2016,PONT. UNIV. CATOLICA DE CHILE,"Intermedialidad, utopía y anticipación tecnológica en el imaginario chileno republicano (1870-1978)"
Sociología,2016,UNIV.DE CHILE,"¿""Malas prácticas"" o ""aceitar la máquina""? Las instituciones informales en tiempos de cambios políticos y su impacto en la democracia chilena (2016-2019)"
Sociología,2016,UNIV.DE CHILE,"La construcción visual de la juventud en Chile. Canon de representación, intermedialidad y sensorium a partir de las imágenes visuales de publicaciones periódicas y archivos fotográficos (1910-1973)"
Sociología,2016,UNIV.DE LA FRONTERA,"La construcción socioimaginaria del estado y la democracia en el discurso de las memorias personales de actores políticos, militares y religiosos de la esfera pública chilena, escritas en el contexto de la dictadura y publicadas entre 1987 y 2011"
Sociología,2016,UNIV.CATOLICA DE TEMUCO,"Cartografía de la(s) precariedad(es) laboral(es) y las relaciones laborales de la zona centro sur. Tipología del trabajo precario y su incidencia en la práctica sindical en las regiones del Maule, Biobío y la Araucanía"
Sociología,2016,UNIV.DE TARAPACA,Formas de gobierno y modelos de valoración del desempeño universitario en Iberoamérica: un estudio bajo un enfoque organizacional multi-teórico
Sociología,2016,UNIV.DE CHILE,"Hacia una sociología de la cultura popular ausente. Corporalidad, representación y mediatización de 'lo popular reprimido' y 'lo popular no representado' en Santiago de Chile (1810-1925)"
Sociología,2016,UNIV.ANDRES BELLO,"Antecedent social factors of moral behaviour: expectations, decisions and justificatory principles in social dilemmas"
Sociología,2017,UNIV.DE VALPARAISO,"Análisis, validación y evaluación de un modelo de colaboración familia-escuela para la promoción del involucramiento familiar y el desarrollo integral de la niñez. Desde la literatura científica internacional a la generación de evidencia en Chile"
Sociología,2017,UNIV.ALBERTO HURTADO,Entierrando el antropoceno: ensamblando nuevos ecosistemas desde suelos degradados en la región de Atacama
Sociología,2017,PONT. UNIV. CATOLICA DE CHILE,Transcurso y metamorfosis de la cobertura informativa de desastres: alteraciones y modificaciones de los objetivos informativos en las distintas fases y tipos de desastres
Sociología,2017,UNIV.DIEGO PORTALES,Inclusión digital móvil: oportunidades y desafíos del acceso y uso de internet a través del teléfono en Chile
Sociología,2017,UNIV.AUTONOMA DE CHILE,"Las elites académicas universitarias en Chile. Un estudio sobre los perfiles, vivencias y percepciones sobre el éxito del alumnado y el rol de las instituciones universitarias de élite en los procesos de reproducción y movilidad social"
Sociología,2017,UNIV.DE CHILE,Acción pública y diversidad sexual en Chile: construcciones sociales en democracia (1990-2016)
Sociología,2017,UNIV.ALBERTO HURTADO,"La gubernamentalidad del sistema educacional chileno y su dispositivo evaluador: redes de producción, decisiones controversiales y efectos performativos (1968-2019)"
Sociología,2017,UNIV.CENTRAL DE CHILE,Condiciones institucionales y consecuencias subjetivas de la producción del estatus legal precario en los migrantes en Chile
Sociología,2017,UNIV.DE TARAPACA,Envejecimiento en el lugar: la influencia del ambiente residencial y la pertenencia étnica en el envejecimiento exitoso en personas mayores aymaras y mapuches de Chile
Sociología,2017,FUND CENT TRANSDISCIPLINARIO DE ESTUDIOS,Modelos conceptuales del sistema complejo sociedad-naturaleza: abriendo caminos hacia nuevas formas de construcción del desarrollo rural en Chile
Sociología,2017,PONT. UNIV. CATOLICA DE CHILE,"Recursos melodramáticas y noticias televisivas: activación, disfrute identificación y contagio emocional como elementos explicadores de los efectos del melodrama sobre la recordación y comprensión de información"
Sociología,2017,PONT. UNIV. CATOLICA DE CHILE,Cambios en los debates presidenciales en televisión en Chile (1989 - 2017): el rol de los periodistas y el contenido de las respuestas de los candidatos
Sociología,2017,UNIV.BERNARDO O'HIGGINS,"Múltiples violencias que afectan a las niñas y los niños migrantes en Chile: derechos, intervenciones sociales y políticas públicas"
Sociología,2017,UNIV.DIEGO PORTALES,Expanding social indicators research: the quality of employment in developing countries
Sociología,2017,PONT. UNIV. CATOLICA DE CHILE,Comprendiendo la dinámica de la abuelidad y su relación con el bienestar de las personas mayores en Chile
Sociología,2017,UNIV.DIEGO PORTALES,"Justicia, legitimidad y cambio social: acerca de la interacción entre justicia distributiva y procedimental"
Sociología,2017,UNIV.ALBERTO HURTADO,Subjetividades en el trabajo en red: las identidades laborales de trabajadores de redes surgidas de alianzas público-privadas (redes app) en Chile
Sociología,2017,UNIV.DE LA FRONTERA,Efectos locales de la compra de tierras a comunidades mapuche en la Araucanía: un análisis socioecológico y de calidad de vida humana
Sociología,2017,UNIV.DE SANTIAGO DE CHILE,La estructura de la sociabilidad en Chile y sus consecuencias para nuestra convivencia. Análisis longitudinal de redes sociales
Sociología,2017,UNIV.DE CHILE,"Trayectorias, oportunidades y expectativas educacionales post-secundarias de jóvenes chilenos. Hacia una comprensión del soporte socio-cultural del mercado de la educación superior"
Sociología,2018,UNIV.CATOLICA DEL NORTE,Segregación ocupacional por sexo: etnografía de las interacciones simbólicas y no simbólicas en la formación técnica y/o universitaria para la minería mixta del 2035
Sociología,2018,UNIV.DE PLAYA ANCHA CS. EDUCACION,Reformas judiciales y acceso a la justicia en Chile: desde la sociología del actuar y la recepción judicial (2000-2020)
Sociología,2018,UNIV.CATOLICA DEL NORTE,Mercantilización de las emociones. El lugar simbólico de las trabajadoras sexuales en las emociones de los hombres de la gran minería del cobre
Sociología,2018,UNIV.DIEGO PORTALES,La vida social de las prácticas y tecnologías para el consumo sustentable: una mirada sociológica a la autogeneración energética y el reciclaje doméstico
Sociología,2018,UNIV.ANDRES BELLO,"El trabajo científico en Chile: instrumentos de acción pública, prácticas de producción científica e identidades laborales"
Sociología,2018,UNIV.CATOLICA DEL NORTE,Análisis del impacto relativo del sistema de ciencia chileno 2010-2017. Un enfoque libre de escala
Sociología,2018,UNIV.DE SANTIAGO DE CHILE,Problematizaciones del individualismo en América del Sur
Sociología,2018,UNIV.ALBERTO HURTADO,"Nuevas mercancías y servicios religiosos en Santiago: prácticas, consumo y resignificaciones de lo sagrado"
Sociología,2018,PONT. UNIV. CATOLICA DE VALPARAISO,"Prácticas, discursos y redefinición de roles periodísticos en redes sociales: un estudio comparado en las plataformas digitales de Twitter e Instagram"
Sociología,2018,UNIV.DE LOS LAGOS,¿De la dispersión a la acumulación? Consecuencias políticas de los conflictos socio-territoriales en perspectiva comparada (Chile-Perú)
Sociología,2018,UNIV.SANTO TOMAS,"Fracturas al orden de género en la gran minería en Chile: trayectorias personales y ocupacionales de mujeres en cargos no tradicionales, ejecutivos u operarios, analizados desde la interseccionalidad"
Sociología,2018,UNIV.DE VALPARAISO,Análisis de los discursos de jóvenes universitarios que participan y no participan en manifestaciones estudiantiles de Santiago y Valparaíso acerca de la legitimidad del sistema y la legitimidad de las acciones de protesta del movimiento estudiantil
Sociología,2018,UNIV.ALBERTO HURTADO,Intereses y controversias en torno al agua. Los grupos de interés y la reforma al código de aguas
Sociología,2018,UNIV.DE LA FRONTERA,El imaginario social de la nación en la crítica literaria periodística publicada en la prensa chilena durante el periodo de la unidad popular (1970-1973)
