folioproy,nombreInvestigador,instrumento,year,universidad,grupoEstudio,titulo,universidadEscala
1120492,Darío Rodríguez,Regular,2012,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,Parar la indiferencia: observación del valor compartido en las relaciones de colaboración que establecen empresas con y sin fines de lucro en Chile,UDP
1120554,Orlando Vallejos,Regular,2012,UNIV.DE LA FRONTERA,SOCIOLOGIA CS I,Las dimensiones sociales (confianza y comunicación) de los riesgos ecológicos en conflictos socioambientales por energía en Chile: los casos de Castilla e HidroAysén,UFRO
1120598,Manuel Vivanco,Regular,2012,INST.FILOSOFIA Y CS. DE LA COMPLEJIDAD,SOCIOLOGIA CS I,Estudio de los efectos de la estructuración geográfica sobre la competencia en educación escolar mediante el uso de sistemas de información geográfica y modelamiento basado en agentes,Otra
1120630,Cristian Cox,Regular,2012,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,Socialización política y experiencia escolar: Chile en contexto internacional,PUC
1120662,Cristian Parker,Regular,2012,UNIV.DE SANTIAGO DE CHILE,SOCIOLOGIA CS I,Patrones sociales de consumo de energía: la relevancia de los actores estratégicos en el desafío del desarrollo sustentable en Chile,USACH
1120700,Gonzalo De La Maza,Regular,2012,UNIV.DE LOS LAGOS,SOCIOLOGIA CS I,"Percepciones, prácticas y representaciones ciudadanas como condiciones de la gobernanza territorial en Chile",Otra
1120790,Rene Montalba,Regular,2012,UNIV.DE LA FRONTERA,SOCIOLOGIA CS I,"Modernización, globalización y riesgo ambiental: identificación de los procesos de adquisición y perdida de la agrobiodiversidad y su relación con el origen étnico de los agricultores. El caso de la Araucanía",UFRO
1120846,Vicente Espinoza,Regular,2012,UNIV.DE SANTIAGO DE CHILE,SOCIOLOGIA CS I,Incidencia de las redes políticas en los procesos de toma de decisión para la asignación de recursos de desarrollo regional. Los consejos regionales en Chile 2010-2014,USACH
1120866,Jose Porras,Regular,2012,UNIV.DE LOS LAGOS,SOCIOLOGIA CS I,El impacto de internet en el capital social de comunas aisladas,Otra
1120904,Carlos Del Valle,Regular,2012,UNIV.DE LA FRONTERA,SOCIOLOGIA CS I,Medios de comunicación y poder: discursos de la prensa y de sujetos adultos de la región de la Araucanía sobre justicia/injusticia en torno al conflicto estado-nación y pueblo mapuche,UFRO
1120926,Oscar Dávila,Regular,2012,CORP. EDUCACION Y DES. SOCIAL,SOCIOLOGIA CS I,Transiciones a la vida adulta: generaciones y cambio social en Chile,Otra
1120979,Viola Espínola,Regular,2012,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,Liderazgo para el mejoramiento educativo: gestión del cambio para el logro de las metas de aprendizaje de los PME-SEP,UDP
1121026,Francisco Donoso,Regular,2012,UNIV.DE LA SERENA,SOCIOLOGIA CS I,"Innovación, fe y proyectos de sociedad: intelectuales evangélicos chilenos como meta minoría activa",Otra
1121107,Eduardo Valenzuela,Regular,2012,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,Trayectorias delictuales y uso de drogas en infractores adolescentes,PUC
1121112,Vicente Sisto,Regular,2012,PONT. UNIV. CATOLICA DE VALPARAISO,SOCIOLOGIA CS I,"La ética de lo público como referencial identitario. Managerialismo e identidad laboral en profesionales del ámbito de la implementación de políticas sociales, salud primaria y educación municipalizada en Chile",Otra
1121124,Claudio Ramos,Regular,2012,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,Datos y relatos científico-sociales que dan forma a la realidad social de Chile: estudio de los entrelazamientos constructivos y performativos de la ciencia social,UAH
1130098,Modesto Gayo,Regular,2013,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,Capital cultural y territorio en Chile. La estructuración territorial del espacio social más allá de los capitales,UDP
1130156,Sebastián Ureta,Regular,2013,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,El desecho de Chile: un análisis sociotécnico de prácticas y políticas respecto del manejo de relaves mineros en las últimas dos décadas,UAH
1130203,Maria Tijoux,Regular,2013,UNIV.DE CHILE,SOCIOLOGIA CS I,"Inmigrantes ""negros"" en Chile: practicas cotidianas de racializacion/sexualización",UCH
1130276,Emmanuelle Barozet,Regular,2013,UNIV.DE CHILE,SOCIOLOGIA CS I,Justicia social y tolerancia a la desigualdad: análisis subjetivo de la diferenciación social en un régimen neoliberal maduro,UCH
1130294,Teresa Ayala,Regular,2013,UNIV.METROPOLITANA DE CS.DE LA EDUCACION,SOCIOLOGIA CS I,"Uso de la web, competencias, motivación y actitud de los estudiantes de pedagogía del área de humanidades respecto de las tic y la cultura digital",Otra
1130296,Gonzalo Falabella,Regular,2013,UNIV.DE CHILE,SOCIOLOGIA CS I,¿cuánto conocimiento transfiere el sector offshore y cadenas anexas al desarrollo de la región metropolitana?,UCH
1130542,Lucy Ketterer,Regular,2013,UNIV.DE LA FRONTERA,SOCIOLOGIA CS I,Violencia de género y sus representaciones sociales en el territorio wenteche de la región de la Araucanía,UFRO
1130559,Jorge Gibert,Regular,2013,UNIV.DE VALPARAISO,SOCIOLOGIA CS I,Estudio socio-económico de grupos de investigación avanzada y sus redes de colaboración con la industria en las áreas de ingeniería de software y biotecnología,Otra
1130642,Carolina Stefoni,Regular,2013,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,"Migrantes latinoamericanos en Chile: precariedad laboral e informalidad en enclaves étnicos, agricultura y construcción",UAH
1130738,Manuel Baeza,Regular,2013,UNIV.DE CONCEPCION,SOCIOLOGIA CS I,Construcción imaginario social de la desconfianza y su relación con el descontento en el Chile actual,Otra
1130779,Claudia Mora,Regular,2013,UNIV.ANDRES BELLO,SOCIOLOGIA CS I,Nuevas formas de pensar en la estratificación social: la intersección clase/género en el mercado laboral chileno,UNAB
1130800,Oscar Mac-Clure,Regular,2013,UNIV.DE LOS LAGOS,SOCIOLOGIA CS I,Juicios sobre las desigualdades en las clases medias: para una sociología de la crítica en Chile,Otra
1130860,Dariela Sharim,Regular,2013,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,"Los vínculos de pareja en el Chile de hoy: amor, sexualidad e intimidad",PUC
1130864,Nicolas Bronfman,Regular,2013,UNIV.ANDRES BELLO,SOCIOLOGIA CS I,Towards a comprehensive appraisal of risks from natural hazards in Chile,UNAB
1130890,Virginia Guzmán,Regular,2013,CENTRO DE ESTUDIOS DE LA MUJER SOC.LTDA,SOCIOLOGIA CS I,"Interrelaciones entre discursos, normas y practicas sociales en la reproducción y cambio de las desigualdades de género",Otra
1130903,Christian Retamal,Regular,2013,UNIV.DE SANTIAGO DE CHILE,SOCIOLOGIA CS I,La globalización y su acción formativa sobre el ethos de la modernidad. Explicación e interpretación a través de los tonos emocionales y transiciones ontológicas emergentes,USACH
1130918,Erwin Krauskopf,Regular,2013,UNIV.ANDRES BELLO,SOCIOLOGIA CS I,Identificación de elementos críticos que influyen en el factor impacto de las revistas chilenas de corriente principal,UNAB
1130921,Rodrigo Browne,Regular,2013,UNIV.AUSTRAL DE CHILE,SOCIOLOGIA CS I,"Análisis crítico y complejo del discurso periodístico verbo visual de la representación intercultural limítrofe/liminal en la prensa boliviana, chilena y peruana sobre el diferendo marítimo internacional de la haya",Otra
1131018,Miguel Urrutia,Regular,2013,UNIV.DE CHILE,SOCIOLOGIA CS I,Los repertorios de acción sindical frente a las transformaciones del mundo del trabajo en Chile (1990-2014). Estudio en las 15 regiones del país,UCH
1131099,Pablo Villarroel,Regular,2013,UNIV.AUSTRAL DE CHILE,SOCIOLOGIA CS I,Comunicación publica de la ciencia y modernización reflexiva: estudio de los fenómenos de reflexividad y ambivalencia en las actitudes publicas hacia la ciencia en Chile en el marco de conflictos y problemas ambientales,Otra
1131115,Pablo Julio,Regular,2013,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,"El desafío de la televisión y el cambio de las audiencias para el teatro y el cine. Un caso de estudio: la escuela de las artes de la comunicación UC, 1968-1978. La interdisciplina como antecedente de la intermedialidad",PUC
1131128,Carolina Muñoz,Regular,2013,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,Juicio profesional y toma de decisiones sobre familias con necesidades complejas,PUC
1131132,Maria Picazo,Regular,2013,UNIV.DE CONCEPCION,SOCIOLOGIA CS I,Acción colectiva y políticas públicas en perspectiva: lecciones a partir del movimiento educacional chileno,Otra
1131134,Francisco Ganga,Regular,2013,UNIV.DE LOS LAGOS,SOCIOLOGIA CS I,Sistemas de gobierno de las universidades iberoamericanas: un análisis desde la teoría de agencia,Otra
1131144,Jorge Pávez,Regular,2013,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,"Imaginarios del género, representaciones del cuerpo y mercados del sexo en Chile (siglo XX)",UAH
1140020,Enrique Fernández,Regular,2014,UNIV.DE TARAPACA,SOCIOLOGIA CS I,Comunidades epistémicas internacionales: formación de redes científicas chileno-alemanas 1950-2010,Otra
1140055,Kathya Araujo,Regular,2014,UNIV.DE SANTIAGO DE CHILE,SOCIOLOGIA CS I,"El trabajo de los individuos y la constitución de sujetos en la sociedad chilena: ideales normativos, experiencias sociales y anclajes existenciales",USACH
1140061,Maria Correa,Regular,2014,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,Inclusión digital en Chile: determinantes de adopción y uso de tics en localidades aisladas,UDP
1140078,Tomas Ariztia,Regular,2014,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,Culturas de evaluación y cualificación en el mundo económico. Un análisis exploratorio de las prácticas y dispositivos de producción de conocimiento sobre el consumidor,UDP
1140106,Darío Rodríguez,Regular,2014,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,Demandas por cambios constitucionales y sociedad mundial,UDP
1140107,Esteban Calvo,Regular,2014,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,When does retirement maximize health outcomes and behaviors?,UDP
1140136,Maria Méndez,Regular,2014,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,"Clase media alta en Chile hoy: sobre las viejas y nuevas barreras, prácticas y costos de la reproducción de la posición de clase",UDP
1140344,Rodrigo Cofre,Regular,2014,UNIV.ANDRES BELLO,SOCIOLOGIA CS I,Las formas y las disputas de la memoria. Un análisis sociológico sobre la controversia en torno al museo de la memoria y los derechos humanos,UNAB
1140579,Maria Fawaz,Regular,2014,UNIV.DEL BIO-BIO,SOCIOLOGIA CS I,"Reconfiguraciones socioespaciales, estructurales y simbólicas de la población, los modos de vida, el trabajo y la familia en el marco de las nuevas relaciones rural/urbanas. Perspectivas y aportes desde la región del Bio-bio",Otra
1140596,Leandro Sepúlveda,Regular,2014,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,Modelos de trayectorias y desenlace educativo-laboral de jóvenes; un estudio longitudinal en la región metropolitana,UAH
1140602,Álvaro Soto,Regular,2014,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,La construcción de identidades laborales en escenarios de trabajo heterogéneos: estudio en el sector publico,UAH
1140679,Luis Thayer,Regular,2014,UNIV.CENTRAL DE CHILE,SOCIOLOGIA CS I,"Estado chileno e inmigrantes latinoamericanos frente a frente, reconocimiento, respeto y expectativas de incorporación",Otra
1140928,Marisol Facuse,Regular,2014,UNIV.DE CHILE,SOCIOLOGIA CS I,"El mundo de las músicas inmigrantes latinoamericanas en Chile: identidades, sociabilidades y mestizajes culturales",UCH
1140930,Catalina Arteaga,Regular,2014,UNIV.DE CHILE,SOCIOLOGIA CS I,Experiencias posicionales: subjetividades en la transformación social de Chile,UCH
1140935,Bernardo Amigo,Regular,2014,UNIV.DE CHILE,SOCIOLOGIA CS I,Convergencia mediático tecnológica y vida cotidiana: transformaciones socioculturales del Chile contemporáneo,UCH
1140990,William Porath,Regular,2014,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,"Marcos de sentido y representaciones de la publicidad del retail chileno: 1980-2013, continuidades y cambios",PUC
1141001,Alejandro Pelfini,Regular,2014,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,"La transformación de las elites en una sociedad emergente. Distinción, tolerancia y transnacionalización de las elites empresariales chilenas",UAH
1141011,Claudia Sepúlveda,Regular,2014,UNIV.DE LA FRONTERA,SOCIOLOGIA CS I,Nuevas prácticas sociales de relación con los humedales de valdivia: un enfoque posthumanista para trazar los efectos locales del desastre ecológico del rio cruces,UFRO
1141087,Eduardo Flores,Regular,2014,UNIV.TECNOLOGICA DE CHILE INACAP,SOCIOLOGIA CS I,"Cumplir la promesa de la solidaridad: un análisis de la producción y uso de la evidencia en los procesos de diseño, ejecución y evaluación de las prácticas de intervención social con población en situación de vulnerabilidad en Chile",Otra
1141157,Carlos De Mattos,Regular,2014,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,Nueva geografía de la urbanización y vulnerabilidad socio-territorial. ¿hacia la configuración de una región urbana en Santiago de Chile?,PUC
1141249,Rene Montalba,Regular,2014,UNIV.DE LA FRONTERA,SOCIOLOGIA CS I,"Resiliencia socio ecológica de sistemas agrícolas tradicionales y modernos: identificación de modos de organización, técnicas y prácticas culturales para enfrentar el cambio climático y la escasez hídrica en la Araucanía",UFRO
1141289,Luis Nitrihual,Regular,2014,UNIV.DE LA FRONTERA,SOCIOLOGIA CS I,"El imaginario social estado-nación y la iglesia católica en la crítica literaria periodística publicada en el diario El Mercurio por Omer Emeth, Alone e Ignacio Valente, durante el siglo XX",UFRO
1141306,Bernardo Guerrero,Regular,2014,UNIV.ARTURO PRAT,SOCIOLOGIA CS I,"Dinámicas identitarias en el norte grande de Chile: nación, región y religiosidad popular",Otra
1150055,Paulina Salinas,Regular,2015,UNIV.CATOLICA DEL NORTE,SOCIOLOGIA CS I,"Género, trabajo y minería: proyección laboral de las mujeres en la minería chilena y su relación con los centros de educación superior y sindicatos mineros",Otra
1150057,Isaac Caro,Regular,2015,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,Antisemitismo e islamofobia como formas de intolerancia religiosa y cultural en las primeras décadas del siglo XXI. Los casos de Argentina y Chile,UAH
1150153,Claudia Mellado,Regular,2015,PONT. UNIV. CATOLICA DE VALPARAISO,SOCIOLOGIA CS I,"Roles profesionales y su materialización en el contenido noticioso del periodismo chileno: un estudio comparado de la televisión, prensa online, prensa escrita, radio y redes sociales",Otra
1150217,Maria Gronemeyer,Regular,2015,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,Tendencias en la cobertura periodística de política y gobierno: análisis de la homogeneidad/diversidad en los encuadres de la información aportada por las fuentes de noticias en la prensa chilena,PUC
1150250,Verónica Gómez,Regular,2015,UNIV.AUTONOMA DE CHILE,SOCIOLOGIA CS I,Trabajo y familia: hacia un modelo para el establecimiento de una agenda nacional de equilibrio y co-responsabilidad en materia laboral y familiar en Chile,Otra
1150310,Maria Puente,Regular,2015,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,"Puntos ciegos y tensiones sobre la función periodística en noticias de emergencia: análisis comparado de percepciones y expectativas de expertos/responsables en gestión de emergencias, periodistas y audiencia sobre el trabajo periodístico en desastre",PUC
1150319,Manuel Tironi,Regular,2015,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,Vidas tóxicas: contaminación atmosférica y regímenes de existencia en Puchuncaví,PUC
1150379,Ingrid Bachmann,Regular,2015,PONT. UNIV. CATOLICA DE CHILE,SOCIOLOGIA CS I,"El todo, la parte y la contraparte: incidencia de la ejemplificación como estrategia argumental de lo particular en la cobertura periodística chilena",PUC
1150526,Jose Weinstein,Regular,2015,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,Confianza relacional en escuelas públicas y privadas subvencionadas. Un estudio en escuelas básicas de la región de Valparaíso,UDP
1150545,Luis Cárcamo,Regular,2015,UNIV.AUSTRAL DE CHILE,SOCIOLOGIA CS I,Redes sociales y medios de comunicación: modelo de análisis de basado en minería de datos para la comprensión del ecosistema informativo chileno en internet y la educomunicación ciudadana en la red,Otra
1150554,Maria Herrera,Regular,2015,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,Convertirse en padre hoy: experiencias masculinas de transición a la paternidad en Chile,UDP
1150562,Javier Mateos,Regular,2015,UNIV.DE CHILE,SOCIOLOGIA CS I,La representación de la historia reciente de Chile en las series de ficción nacionales de máxima audiencia y su recepción en el público juvenil,UCH
1150576,Orlando Vallejos,Regular,2015,UNIV.DE LA FRONTERA,SOCIOLOGIA CS I,La construcción social del riesgo: hacia una configuración diferenciada de los riesgos y peligros en el Chile del siglo XXI,UFRO
1150607,Cristian Parker,Regular,2015,UNIV.DE SANTIAGO DE CHILE,SOCIOLOGIA CS I,"Multiplicidad de actores, conocimiento y gobernanza en la transición energética: casos comparados en Chile y Argentina",USACH
1150646,Ximena Valdés,Regular,2015,CENTRO DE ESTUD.PARA EL DESARR.DE LA MUJ,SOCIOLOGIA CS I,Trayectoria e incidencia de la organización social y acción colectiva de las mujeres rurales en Chile,Otra
1150666,Carlos Del Valle,Regular,2015,UNIV.DE LA FRONTERA,SOCIOLOGIA CS I,"La construcción del imaginario social de la justicia en los relatos periodísticos publicados por el diario el mercurio de Chile, entre 1850 y 2014, en el contexto del conflicto estado-nación y pueblo mapuche: continuidades y cambios",UFRO
1150684,Esteban Valenzuela,Regular,2015,UNIV.ALBERTO HURTADO,SOCIOLOGIA CS I,Movimientos regionalistas y transformaciones políticas en Chile 2011-2016: entre la cooptación y el poder autónomo,UAH
1150790,Alfredo Joignant,Regular,2015,UNIV.DIEGO PORTALES,SOCIOLOGIA CS I,Los dos carismas. La construcción social retrospectiva del carisma individual y la desacralización del carisma institucional en Chile (1970-2014),UDP
1150808,Oscar Mac-Clure,Regular,2015,UNIV.DE LOS LAGOS,SOCIOLOGIA CS I,Desigualdades sociales en Chile: ¿qué influye en lo considerado justo o injusto?,Otra
1150812,Humberto Dilla,Regular,2015,UNIV.ARTURO PRAT,SOCIOLOGIA CS I,La regionalización transfronteriza en el norte de Chile: una gestión para el desarrollo,Otra
1150860,Helia Henriquez,Regular,2015,UNIV.DE CHILE,SOCIOLOGIA CS I,El conflicto sindical chileno: las modalidades que asume y el sentido que le imputan los actores,UCH
1151063,Claudia Cerda,Regular,2015,UNIV.DE CHILE,SOCIOLOGIA CS I,Exploring human-wildlife relationships in Chile: a multi-stakeholder perspective to wildlife conservation management,UCH
1151112,Carolina Benavente,Regular,2015,UNIV.DE VALPARAISO,SOCIOLOGIA CS I,"Consagración cultural, espectáculo y mujer en América Latina: Carmen Miranda, Yma Súmac y Eva Perón",Otra
1151209,Vicente Sisto,Regular,2015,PONT. UNIV. CATOLICA DE VALPARAISO,SOCIOLOGIA CS I,"Vidas académicas, instituciones en disputa: la organización del trabajo y la subjetividad académica en un contexto de transformación",Otra
1151215,Gonzalo De La Maza,Regular,2015,UNIV.DE LOS LAGOS,SOCIOLOGIA CS I,Lo que los conflictos producen: configuraciones y dinámicas de la conflictividad socio territorial en Chile y sus consecuencias sobre las políticas públicas y los territorios,Otra
1151503,Stephanie Alenda,Regular,2015,UNIV.ANDRES BELLO,SOCIOLOGIA CS I,Explicando el cambio partidario desde una sociología institucional y del entorno: el caso de estudio de las derechas chilenas,UNAB
1160050,Lorena Antezana,Regular,2016,UNIV.DE CHILE,SOCIOLOGIA CS I,Imágenes de la memoria: lecturas generacionales de series de ficción televisiva sobre el pasado reciente de Chile,UCH
1160186,Beatriz Cid,Regular,2016,UNIV.DE CONCEPCION,SOCIOLOGIA CS I,Cartografías de economías heterogéneas: estudio de casos en las regiones del Biobío y Valparaíso,Otra
1160240,Maria Correa,Regular,2016,UNIV.DE CHILE,SOCIOLOGIA CS I,Persuasión no argumentativa aplicada a promoción de salud: análisis de la dimensión ética y evaluación de su eficacia,UCH
